User ID,Gender,Age,EstimatedSalary,Purchased
15624510,Male,19,19000,No
15810944,Male,35,20000,No
15668575,Female,,43000,No
15603246,Female,27,57000,No
15804002,Male,19,76000,No
15728773,Male,27,58000,No
15598044,Female,27,84000,No
15694829,Female,32,150000,Yes
15600575,Male,25,33000,No
15727311,Female,35,65000,No
15570769,Female,26,80000,No
15606274,Female,26,52000,No
15746139,Male,20,86000,No
15704987,Male,32,18000,No
15628972,Male,18,82000,No
15697686,Male,29,80000,No
15733883,Male,47,25000,Yes
15617482,Male,45,26000,Yes
15704583,Male,46,28000,Yes
15621083,Female,48,29000,Yes
15649487,Male,45,22000,Yes
15736760,Female,47,49000,Yes
15714658,Male,48,41000,Yes
15599081,Female,45,22000,Yes
15705113,Male,46,23000,Yes
15631159,Male,47,20000,Yes
15792818,Male,49,28000,Yes
15633531,Female,47,30000,Yes
15744529,Male,29,43000,No
15669656,Male,31,18000,No
15581198,Male,31,74000,No
15729054,Female,27,137000,Yes
15573452,Female,21,16000,No
15776733,Female,28,44000,No
15724858,Male,27,90000,No
15713144,Male,35,27000,No
15690188,Female,33,28000,No
15689425,Male,30,49000,No
15671766,Female,26,72000,No
15782806,Female,27,31000,No
15764419,Female,27,17000,No
15591915,Female,33,51000,No
15772798,Male,35,108000,No
15792008,Male,30,15000,No
15715541,Female,28,84000,No
15639277,Male,23,20000,No
15798850,Male,25,79000,No
15776348,Female,27,54000,No
15727696,Male,30,135000,Yes
15793813,Female,31,89000,No
15694395,Female,24,32000,No
15764195,Female,18,44000,No
15744919,Female,29,83000,No
15671655,Female,35,23000,No
15654901,Female,27,58000,No
15649136,Female,24,55000,No
15775562,Female,23,48000,No
15807481,Male,28,79000,No
15642885,Male,22,18000,No
15789109,Female,32,117000,No
15814004,Male,27,20000,No
15673619,Male,25,87000,No
15595135,Female,23,66000,No
15583681,Male,32,120000,Yes
15605000,Female,59,83000,No
15718071,Male,24,58000,No
15679760,Male,24,19000,No
15654574,Female,23,82000,No
15577178,Female,22,63000,No
15595324,Female,31,68000,No
15756932,Male,25,80000,No
15726358,Female,24,27000,No
15595228,Female,20,23000,No
15782530,Female,33,113000,No
15592877,Male,32,18000,No
15651983,Male,34,112000,Yes
15746737,Male,18,52000,No
15774179,Female,22,27000,No
15667265,Female,28,87000,No
15655123,Female,26,17000,No
15595917,Male,30,80000,No
15668385,Male,39,42000,No
15709476,Male,20,49000,No
15711218,Male,35,88000,No
15798659,Female,30,62000,No
15663939,Female,31,118000,Yes
15694946,Male,24,55000,No
15631912,Female,28,85000,No
15768816,Male,26,81000,No
15682268,Male,35,50000,No
15684801,Male,22,81000,No
15636428,Female,30,116000,No
15809823,Male,26,15000,No
15699284,Female,29,28000,No
15786993,Female,29,83000,No
15709441,Female,35,44000,No
15710257,Female,35,25000,No
15582492,Male,28,123000,Yes
15575694,Male,35,73000,No
15756820,Female,28,37000,No
15766289,Male,27,88000,No
15593014,Male,28,59000,No
15584545,Female,32,86000,No
15675949,Female,33,149000,Yes
15672091,Female,19,21000,No
15801658,Male,21,72000,No
15706185,Female,26,35000,No
15789863,Male,27,89000,No
15720943,Male,26,86000,No
15697997,Female,38,80000,No
15665416,Female,39,71000,No
15660200,Female,37,71000,No
15619653,Male,38,61000,No
15773447,Male,37,55000,No
15739160,Male,42,80000,No
15689237,Male,40,57000,No
15679297,Male,35,75000,No
15591433,Male,36,52000,No
15642725,Male,40,59000,No
15701962,Male,41,59000,No
15811613,Female,36,75000,No
15741049,Male,37,72000,No
15724423,Female,40,75000,No
15574305,Male,35,53000,No
15678168,Female,41,51000,No
15697020,Female,39,61000,No
15610801,Male,42,65000,No
15745232,Male,26,32000,No
15722758,Male,30,17000,No
15792102,Female,26,84000,No
15675185,Male,31,58000,No
15801247,Male,33,31000,No
15725660,Male,30,87000,No
15638963,Female,21,68000,No
15800061,Female,28,55000,No
15578006,Male,23,63000,No
15668504,Female,20,82000,No
15687491,Male,30,107000,Yes
15610403,Female,28,59000,No
15741094,Male,19,25000,No
15807909,Male,19,85000,No
15666141,Female,18,68000,No
15617134,Male,35,59000,No
15783029,Male,30,89000,No
15622833,Female,34,25000,No
15746422,Female,24,89000,No
15750839,Female,27,96000,Yes
15749130,Female,41,30000,No
15779862,Male,29,61000,No
15767871,Male,20,74000,No
15679651,Female,26,15000,No
15576219,Male,41,45000,No
15699247,Male,31,76000,No
15619087,Female,36,50000,No
15605327,Male,40,47000,No
15610140,Female,31,15000,No
15791174,Male,46,59000,No
15602373,Male,29,75000,No
15762605,Male,26,30000,No
15598840,Female,32,135000,Yes
15744279,Male,32,100000,Yes
15670619,Male,25,90000,No
15599533,Female,37,33000,No
15757837,Male,35,38000,No
15697574,Female,33,69000,No
15578738,Female,18,86000,No
15762228,Female,22,55000,No
15614827,Female,35,71000,No
15789815,Male,29,148000,Yes
15579781,Female,29,47000,No
15587013,Male,21,88000,No
15570932,Male,34,115000,No
15794661,Female,26,118000,No
15581654,Female,34,43000,No
15644296,Female,34,72000,No
15614420,Female,23,28000,No
15609653,Female,35,47000,No
15594577,Male,25,22000,No
15584114,Male,24,23000,No
15673367,Female,31,34000,No
15685576,Male,26,16000,No
15774727,Female,31,71000,No
15694288,Female,32,117000,Yes
15603319,Male,33,43000,No
15759066,Female,33,60000,No
15814816,Male,31,66000,No
15724402,Female,20,82000,No
15571059,Female,33,41000,No
15674206,Male,35,72000,No
15715160,Male,28,32000,No
15730448,Male,24,84000,No
15662067,Female,19,26000,No
15779581,Male,29,43000,No
15662901,Male,19,70000,No
15689751,Male,28,89000,No
15667742,Male,34,43000,No
15738448,Female,30,79000,No
15680243,Female,20,36000,No
15745083,Male,26,80000,No
15708228,Male,35,22000,No
15628523,Male,35,39000,No
